project,operator,country,mtpa,status,start_year,note
North Field East,QatarEnergy,카타르,32,건설중,2027,기계적 완공·시운전 진입(2026-09) · 첫 상업화물 2027 목표
North Field South,QatarEnergy,카타르,16,건설중,2027,8 MTPA 트레인 2기 · 2027~2028 램프업
North Field West,QatarEnergy,카타르,16,FID 완료,2031,2026-02 트레인 2기 발주 · 첫 LNG 2031년 말 목표
LNG Canada Phase 1,Shell JV,캐나다,14,가동,2025,2025-06-30 첫 수출 화물
LNG Canada Phase 2,Shell JV,캐나다,14,FID 전,,2026년 말 확장 여부 결정 예정 · 승인 시 14→28
Arctic LNG 2,Novatek,러시아,19.8,제재 중단,,Train 1·2 완공됐으나 제재로 정상 상업운전 불가
Ruwais LNG,ADNOC,UAE,9.6,건설중,2028,T1 2028년 말 · T2 2029년 초 · 용량 90% 장기계약 확보
Rovuma LNG,ExxonMobil·Eni,모잠비크,18.6,건설중,2031,2트레인 12모듈 구성
Mozambique LNG,TotalEnergies,모잠비크,13,건설중,2029,2021 불가항력 중단 → 2026-01 전면 재개
Pluto Train 2 (Scarborough),Woodside,호주,5,건설중,2026,프로젝트 98% 완료 · 2026 4분기 첫 화물 목표
NLNG Train 7,Nigeria LNG,나이지리아,8,건설중,,2026-05 기준 92% 완공 · 시운전 준비 중
Papua LNG,ExxonMobil,파푸아뉴기니,,FID 전,,2026-09 TotalEnergies에서 운영권 이관 · FID 임박 (용량 미확인)
