vessel,operator,country,field,model,status,start_year,mtpa,note
Coral Sul FLNG,Eni,모잠비크,Area 4 (Rovuma),자가 액화용,가동중,2022,3.4,첫 화물 2022-11
Hilli Episeyo,Golar,카메룬,Kribi,액화 서비스,가동중,2018,2.4,현 용선 2026 종료 · 이후 아르헨티나 20년 용선 계약
Gimi,Golar,모리타니·세네갈,GTA (Greater Tortue Ahmeyim),액화 서비스,가동중,2025,2.5,설계용량 기준 램프업 중
Tango FLNG,Eni,콩고,Marine XII,자가 액화용,가동중,2023,0.6,Congo LNG 1단계
Nguya FLNG,Eni,콩고,Marine XII,자가 액화용,가동중,2026,2.4,Congo LNG 2단계 · Tango 합산 3.0
Fast LNG Altamira,New Fortress Energy,멕시코,Altamira,자가 액화용,가동중,2024,1.4,설계 1.4 · 실적 1.67까지 기록
PFLNG Satu,Petronas,말레이시아,Kanowit → Kebabangan,자가 액화용,가동중,2017,1.2,세계 첫 FLNG · 가스전 이동 배치
PFLNG Dua,Petronas,말레이시아,Rotan (Sabah),자가 액화용,가동중,2021,1.5,심해 FLNG
Prelude FLNG,Shell JV,호주,Browse,자가 액화용,가동중,2019,3.6,LNG 3.6 외 LPG 0.4 · 콘덴세이트 1.3
Fuji LNG (MKII),Golar,아르헨티나,Río Negro,액화 서비스,건조중,2028,3.5,CIMC Raffles 인도 2027 4Q 예정 · 2028 상반기 가동 목표
